brief,predict,score,truth
gov.uscourts.mad.136393.13.0.txt,deny,-1.3789271677762285,deny
gov.uscourts.mied.281716.17.0.txt,deny,-1.3528167892372438,deny
gov.uscourts.mied.281716.26.0.txt,grant,2.099317980566125,deny
gov.uscourts.txed.117629.37.0.txt,deny,-0.8498281150513257,deny
gov.uscourts.insd.40651.96.0.txt,grant,0.6574990766181201,deny
gov.uscourts.mad.135459.25.0.txt,grant,0.5099721847038259,grant
gov.uscourts.txsd.800617.162.0.txt,deny,-0.9935484967301788,deny
gov.uscourts.flsd.536917.57.0.txt,grant,0.46464166593711576,deny
gov.uscourts.hid.100339.15.0.txt,grant,1.433562267984821,grant
gov.uscourts.wyd.32018.13.0.txt,deny,-0.4342823610901724,grant
gov.uscourts.pawd.70675.136.0.txt,grant,0.09006950961090876,deny
gov.uscourts.nysd.309795.11.0.txt,deny,-0.3212010883129456,grant
gov.uscourts.nysd.309795.12.0.txt,deny,-0.8345148889804715,grant
gov.uscourts.tnwd.62687.43.0.txt,deny,-0.5518318113655244,deny
gov.uscourts.akd.243.72.0.txt,grant,1.1087461006093156,grant
gov.uscourts.txwd.410570.91.0.txt,grant,0.07423275167578225,deny
gov.uscourts.rid.20478.60.0.txt,deny,-0.16042373817952182,grant
gov.uscourts.flnd.75114.99.0.txt,grant,0.5994863850704628,grant
gov.uscourts.utd.79026.9.0.txt,deny,-1.0320302814268207,grant
gov.uscourts.wiwd.28364.262.0.txt,deny,-0.8190910860817663,grant
gov.uscourts.flmd.202663.49.0.txt,deny,-1.7524027338924686,deny
gov.uscourts.nysd.316772.29.0.txt,grant,0.9105698587801918,deny
gov.uscourts.mad.112193.104.0.txt,deny,-1.450358943537306,deny
gov.uscourts.nysd.341836.19.0.txt,grant,0.6740457627407382,deny
gov.uscourts.nysd.341836.21.0.txt,grant,0.45338110335897863,deny
gov.uscourts.nysd.310004.19.0.txt,grant,1.2698082727567808,grant
gov.uscourts.nysd.310004.18.0.txt,grant,0.9258269620136929,grant
gov.uscourts.vaed.301389.83.0.txt,deny,-0.556891749220427,deny
gov.uscourts.vaed.301389.82.0.txt,deny,-0.0605019769352112,deny
gov.uscourts.gand.163096.9.0.txt,grant,0.14516170986601484,deny
gov.uscourts.cofc.16889.80.0.txt,grant,0.22129658495808113,deny
gov.uscourts.mad.131942.142.0.txt,deny,-0.03617107190433433,grant
gov.uscourts.mad.131942.141.0.txt,deny,-0.5032315871119949,grant
gov.uscourts.cofc.27526.8.0.txt,grant,0.9354034292264608,grant
gov.uscourts.ncwd.58301.120.0.txt,deny,-0.7008084364116453,deny
gov.uscourts.wied.45575.1490.0.txt,grant,0.938044060207315,deny
gov.uscourts.wied.45575.1489.0.txt,grant,0.031712745680127274,deny
gov.uscourts.ded.8821.36.0.txt,grant,0.49279426069633137,deny
gov.uscourts.cand.205437.173.0.txt,deny,-0.45478757883951293,grant
gov.uscourts.laed.104020.272.0.txt,deny,-0.1955487054845727,grant
gov.uscourts.mdd.175508.46.0.txt,grant,0.8342514125029817,deny
gov.uscourts.flmd.262099.41.0.txt,deny,-0.07492212678167331,deny
gov.uscourts.flnd.60471.35.0.txt,deny,-0.4953685453456037,deny
gov.uscourts.txnd.181835.43.0.txt,grant,1.6697098094203016,grant
gov.uscourts.txwd.658375.20.0.txt,grant,0.40182317068753143,deny
gov.uscourts.caed.293467.9.0.txt,deny,-0.740877949740152,deny
gov.uscourts.mad.142856.311.0.txt,deny,-0.8462515841714428,grant
gov.uscourts.dcd.125714.4.0.txt,grant,1.3846565376645783,deny
gov.uscourts.txnd.181835.21.0.txt,grant,1.2527530842438723,grant
gov.uscourts.txnd.181835.14.0.txt,grant,1.9685506721917156,grant
gov.uscourts.txnd.181835.12.0.txt,grant,1.3526593532818965,grant
gov.uscourts.txnd.181835.11.0.txt,grant,0.7654448260321396,grant
gov.uscourts.vaed.276422.82.0.txt,grant,0.8447342137568128,grant
gov.uscourts.mssd.71373.76.0.txt,deny,-2.0435987697248814,deny
gov.uscourts.rid.20762.34.0.txt,deny,-0.010753931351914936,deny
gov.uscourts.rid.20762.32.0.txt,grant,1.2166676253268365,deny
gov.uscourts.casd.256908.68.0.txt,grant,0.058962334672328476,deny
gov.uscourts.nyed.336185.207.0.txt,deny,-0.804717859038529,grant
gov.uscourts.nyed.336185.206.0.txt,grant,0.6034655626640795,grant
gov.uscourts.txsd.613668.95.0.txt,deny,-1.2540291391031602,grant
gov.uscourts.arwd.28923.7.0.txt,deny,-0.9668316047993707,deny
gov.uscourts.vaed.336338.75.0.txt,deny,-0.2904723243209656,grant
gov.uscourts.vaed.336338.76.0.txt,deny,-0.46755840310810626,grant
gov.uscourts.nvd.76125.45.0.txt,deny,-0.00032720583402134906,deny
gov.uscourts.flmd.215470.103.0.txt,deny,-0.11920200827678606,deny
gov.uscourts.txsd.370472.3.0.txt,grant,0.8782049911329028,grant
gov.uscourts.nysd.317435.31.0.txt,grant,0.5712050281859256,deny
gov.uscourts.nysd.317435.30.0.txt,grant,0.125844463982003,deny
gov.uscourts.cofc.22966.90.0.txt,deny,-0.30687797708939557,grant
gov.uscourts.nvd.79045.1.0.txt,grant,0.5170981549607145,deny
gov.uscourts.flnd.49535.625.0.txt,deny,-0.12161213997468712,deny
gov.uscourts.casd.499990.16.0.txt,deny,-1.0490780799643526,deny
gov.uscourts.cod.151798.49.0.txt,grant,1.502532010885197,grant
gov.uscourts.cand.197206.33.0.txt,deny,-1.0973988442871843,deny
gov.uscourts.cand.197984.2520.0.txt,deny,-0.16702866734921507,grant
gov.uscourts.mnd.90143.97.0.txt,deny,-0.5091961200613636,deny
gov.uscourts.mnd.90143.100.0.txt,deny,-0.10298210133742769,deny
gov.uscourts.mnd.90143.98.0.txt,grant,0.29500053846951524,deny
gov.uscourts.mnd.90143.95.0.txt,deny,-0.4088082887148202,deny
gov.uscourts.mad.136008.52.0.txt,grant,0.015561179054678465,deny
gov.uscourts.txnd.236263.38.0.txt,deny,-0.30781931653824823,deny
gov.uscourts.flsd.460539.6.0.txt,grant,0.1845654175626087,grant
gov.uscourts.cofc.21320.46.0.txt,deny,-0.8258783370045036,grant
gov.uscourts.vaed.271949.959.0.txt,deny,-0.40016788762471955,grant
gov.uscourts.cand.206145.27.0.txt,grant,0.12696508991983324,grant
gov.uscourts.cand.198618.26.0.txt,deny,-1.3598650679234767,grant
gov.uscourts.mad.126818.23.0.txt,grant,0.31611935867349494,deny
gov.uscourts.uscfc.34389.219.0.txt,grant,0.24370723416868734,deny
gov.uscourts.casd.258578.50.0.txt,grant,0.004520928385738698,grant
gov.uscourts.flsd.477203.18.0.txt,deny,-0.13958692332175937,grant
gov.uscourts.txwd.380367.277.0.txt,deny,-1.0360824389964098,deny
gov.uscourts.vaed.266371.12.0.txt,grant,0.39981850166624827,grant
gov.uscourts.vaed.384803.8.0.txt,grant,0.3151241466417005,deny
gov.uscourts.utd.76691.4.0.txt,deny,-1.5604519904154293,deny
gov.uscourts.utd.76691.5.0.txt,deny,-0.6774125055752634,deny
gov.uscourts.mad.135333.14.0.txt,grant,0.5302448209316752,grant
gov.uscourts.mad.135333.13.0.txt,deny,-0.9679108874235037,grant
gov.uscourts.txsd.535128.25.0.txt,deny,-0.9416179893516058,deny
gov.uscourts.akd.49744.76.0.txt,grant,1.7329755667915991,grant
gov.uscourts.dcd.146770.36.0.txt,grant,0.5207852233230055,deny
gov.uscourts.mad.118796.69.0.txt,deny,-1.138521894393124,grant
gov.uscourts.dcd.124851.44.0.txt,grant,0.2068337940547701,deny
gov.uscourts.flnd.67528.24.0.txt,deny,-0.6825438463913737,grant
gov.uscourts.mad.127997.29.0.txt,grant,0.49900096991357235,grant
gov.uscourts.mad.127997.30.0.txt,deny,-0.32547945657878274,grant
gov.uscourts.nysd.475830.21.0.txt,deny,-0.6893509286762683,deny
gov.uscourts.ilsd.61930.76.0.txt,deny,-1.067643227002884,grant
gov.uscourts.ilsd.61930.75.0.txt,deny,-1.21756807067587,grant
gov.uscourts.wied.42230.82.0.txt,deny,-1.2024088945676348,deny
gov.uscourts.wied.42230.90.0.txt,deny,-1.334335955284081,deny
gov.uscourts.wied.42230.83.0.txt,deny,-0.8757785651547695,deny
gov.uscourts.wied.42230.84.0.txt,deny,-0.8658391580480188,deny
gov.uscourts.azd.322017.132.0.txt,deny,-0.3989614362833863,deny
gov.uscourts.caeb.371652.186.0.txt,deny,-0.8231228766008839,grant
gov.uscourts.caeb.371652.184.0.txt,deny,-0.5766339327114379,grant
gov.uscourts.cand.202105.11.0.txt,deny,-1.021982490555493,deny
gov.uscourts.cand.202105.10.0.txt,deny,-1.7299777691037908,deny
gov.uscourts.nvd.96674.24.0.txt,grant,1.09992692672811,deny
gov.uscourts.nysd.317490.30.0.txt,grant,0.8903231801644638,deny
gov.uscourts.nysd.317490.31.0.txt,grant,0.457026985593879,deny
gov.uscourts.txed.178695.10.0.txt,deny,-0.2026955633004982,grant
gov.uscourts.akd.336.102.0.txt,deny,-1.4732267841367714,deny
gov.uscourts.mad.126818.20.0.txt,grant,0.032723514409153776,grant
